arabianmu,Chinese Name,阿拉丁神灯 (版本 1.0A 1992/07/06)
aracnis,Chinese Name,魔蝎 (盗版自 Scorpion on Moon Cresta 硬件)
arbalest,Chinese Name,劲弩战机 
arcadecl,Chinese Name,街机经典名作 (原型版)
arcadian,Chinese Name,阿卡迪亚战机 (NMK)
area88,Chinese Name,战区 88 (日版)
area88r,Chinese Name,战区 88 (日版 重售版.)
arescue,Chinese Name,空中援救 (世界版)
arescuej,Chinese Name,空中援救 (日版)
arescueu,Chinese Name,空中援救 (美版)
argus,Chinese Name,阿耳弋斯号 
argusg,Chinese Name,阿耳弋斯号 (Gottlieb, 原型版)
arian,Chinese Name,组合战机 
ark1ball,Chinese Name,打砖块 (盗版替换 MCU, 加难版)
ark1balla,Long Name,Arkanoid (bootleg with MCU, harder, alt)
arkangc,Chinese Name,打砖块 (Game Corporation 盗版, 第 1 套)
arkangc2,Chinese Name,打砖块 (Game Corporation 盗版, 第 2 套)
arkanoid,Chinese Name,打砖块 (世界版, 旧版)
arkanoidj,Chinese Name,打砖块 (日版, 新版)
arkanoidja,Chinese Name,打砖块 (日版, 新版 w/level select)
arkanoidjb,Chinese Name,打砖块 (日版, 旧版)
arkanoidjbl,Chinese Name,打砖块 (盗版替换 MCU, 第 1 套)
arkanoidjbl2,Chinese Name,打砖块 (盗版替换 MCU, 第 2 套)
arkanoidjbla,Long Name,Arkanoid (bootleg with MCU, alt)
arkanoidu,Chinese Name,打砖块 (美版, 新版)
arkanoiduo,Chinese Name,打砖块 (美版, 旧版)
arkarea,Chinese Name,宇宙飞艇 
arkatayt,Chinese Name,打砖块 (Tayto 盗版)
arkatour,Chinese Name,打砖块 (美版)
arkatour2,Short Name,arkatour2
arkbloc2,Chinese Name,打砖块 (Game Corporation 盗版, 第 2 套)
arkblock,Chinese Name,打砖块 (Game Corporation 盗版, 第 1 套)
arkgcbl,Chinese Name,打砖块 (盗版 Block 硬件, 第 1 套)
arknoid2,Chinese Name,打砖块 - DOH 复仇 (世界版)
arknoid2b,Chinese Name,打砖块 - DOH 复仇 (日版 盗版)
arknoid2j,Chinese Name,打砖块 - DOH 复仇 (日版)
arknoid2u,Chinese Name,打砖块 - DOH 复仇 (美版)
arkretrn,Chinese Name,打砖块 - 回归 (版本 2.02O 1997/02/10)
arkretrnj,Chinese Name,打砖块 - 回归 (版本 2.02J 1997/02/10)
arkretrnu,Chinese Name,打砖块 - 回归 (版本 2.02A 1997/02/10)
arktayt2,Chinese Name,打砖块 (Tayto 盗版, 加难版)
armchmp2,Chinese Name,武装合集II (版本 2.7)
armchmp2o,Chinese Name,武装合集II (版本 1.7)
armchmp2o2,Chinese Name,武装合集II (版本 2.6)
armedf,Long Name,Armed Formation
armedff,Long Name,Armed Formation (Fillmore license)
armorcar,Chinese Name,装甲车 (第 1 套)
armorcar2,Chinese Name,装甲车 (第 2 套)
armwar,Chinese Name,机甲战士 / 机甲装备: 攻关版 (欧版 941024)
armwar1d,Chinese Name,机甲战士 / 机甲装备: 攻关版 (欧版 941011 凤凰版) (盗版)
armwara,Chinese Name,机甲战士 / 机甲装备: 攻关版 (亚版 941024)
armwarar1,Chinese Name,机甲战士 / 机甲装备: 攻关版 (亚版 940920)
armwarb,Long Name,Armored Warriors (941024 Brazil)
armwarr1,Chinese Name,机甲战士 / 机甲装备: 攻关版 (欧版 941011)
armwaru,Chinese Name,机甲战士 / 机甲装备: 攻关版 (美版 941024)
