file,name
academyga,"墨菲斯托学院 (德版, 04-10-88)"
ace,飞机大战 
aceattac,王牌攻击者 (FD1094 317-0059)
aceattaca,"王牌攻击者 (日版, System 16A, FD1094 317-0060)"
acedrvrw,"A 级方程式赛车 (修正版. AD2, 世界版)"
acefruit,影子水果机 
acheart,圣灵之心 
acheartf,圣灵之心完整版 
acitya,大西洋城扑克 
aclown,丑角 (俄版) (Atronic)
acombat,"宇宙战争 (新版, CB)"
acombat3,宇宙战争 (未加密版)
acombat4,宇宙战争 (加密板)
acombato,"宇宙战争 (旧版, PZ)"
acommand,异形密令 
acrnsys1,艾康系统1 
acrnsys2,艾康系统2 
acrnsys3,艾康系统3 (6502 CPU)
acrnsys3_6809,艾康系统3 (6809 CPU)
acrnsys4,艾康系统4 
acrnsys5,艾康系统5 
acrobatm,风云战机 
act2000,行动 2000 (版本 3.5E Dual)
act2000b1,"行动 2000 (版本 3.5R, 第 2 套)"
act2000bx,"行动 2000 (版本 3.30XT, 第 2 套)"
act2000d1,"行动 2000 (版本 3.5R, 第 1 套)"
act2000dx,"行动 2000 (版本 3.30XT, 第 1 套)"
act2000o,行动 2000 (版本 3.3)
act2000o2,行动 2000 (版本 3.10XT)
act2000o3,行动 2000 (版本 1.2)
act2000v1,行动 2000 (版本 3.5R Dual)
act2000vx,行动 2000 (版本 3.30XT Dual)
actfancr,战斗机器 (世界版 修正版 3)
actfancr1,战斗机器 (世界版 修正版 1)
actfancr2,战斗机器 (世界版 修正版 2)
actfancrj,战斗机器 (日版 修正版 1)
actionhw,动作好莱坞 
ad2083,太空核战 2083 
ad4ctl,警察俱乐部 (Video) (Bellfruit) (Adder 4) (第 1 套)
ad4ctla,警察俱乐部 (Video) (Bellfruit) (Adder 4) (第 2 套)
ad4film,电影首映 (Video?) (Bellfruit) (Adder 4) (第 1 套)
ad4filma,电影首映 (Video?) (Bellfruit) (Adder 4) (第 2 套)
ad4skill,骰子戏 (BFM) (Scorpion 4 + Adder 4)
